Id,Label,timeset,modularity_class,eigencentrality
816,,,4,0
817,,,4,0.007769
818,,,4,0
819,,,4,0.058288
820,,,41,0.027688
821,,,27,0
822,,,4,0
823,,,30,0.198473
824,,,4,0
825,,,186,0.029752
826,,,3,0.020038
827,,,4,0
828,,,365,0.029876
829,,,29,0
830,,,4,0.0263
831,,,365,0.086294
832,,,10,0
833,,,13,0
834,,,4,0.002199
835,,,136,0
836,,,136,0.000821
837,,,8,0.074149
838,,,41,0.000821
839,,,26,0
840,,,41,0.003761
841,,,15,0
842,,,21,0.009936
843,,,21,0
844,,,13,0.016986
845,,,21,0
846,,,15,0
847,,,21,0
848,,,21,0
849,,,14,0
850,,,4,0.125293
851,,,16,0
852,,,30,0
853,,,44,0.009645
854,,,365,0.146048
855,,,47,0.06675
856,,,47,0
857,,,47,0.003943
858,,,186,0.078766
859,,,19,0.010433
860,,,7,0.035729
861,,,17,0.004788
862,,,365,0.003584
863,,,4,0.0047
864,,,30,0
865,,,31,0.000821
866,,,13,0.063306
867,,,8,0
868,,,30,0.004515
869,,,30,0
870,,,30,0
871,,,30,0.001117
872,,,4,0
873,,,4,0.113194
874,,,365,0.709948
875,,,4,0
876,,,15,0.026397
877,,,17,0.034163
878,,,365,0.018349
879,,,266,0.024897
880,,,9,0.008601
881,,,27,0.057793
882,,,8,0.011747
883,,,36,0.020668
884,,,36,0.059497
885,,,68,0.020663
886,,,0,0
887,,,36,0
888,,,36,0
889,,,10,0
890,,,30,0
891,,,16,0.128003
892,,,17,0.015306
893,,,44,0.031124
894,,,12,0.214571
895,,,44,0.023778
896,,,21,0.065751
897,,,44,0.005836
898,,,15,0
899,,,186,0
900,,,186,0.063343
901,,,186,0
902,,,15,0.004471
903,,,13,0.224547
904,,,24,0.00642
905,,,24,0.031749
906,,,24,0
907,,,21,0.012781
908,,,2,0.009145
909,,,2,0
910,,,4,0.001104
911,,,13,0.003517
912,,,3,0.07651
913,,,14,0
914,,,41,0.038264
915,,,3,0.028929
916,,,15,0.032559
917,,,15,0.003347
918,,,15,0
919,,,15,0
920,,,41,0.177078
921,,,15,0
922,,,6,0
923,,,41,0
924,,,41,0.044546
925,,,41,0
926,,,41,0.518832
927,,,14,0.011396
928,,,15,0.096854
929,,,15,0
930,,,15,0
931,,,6,0.052928
932,,,27,0
933,,,15,0
934,,,17,0.018941
935,,,4,0
936,,,15,0.020227
937,,,47,0.002391
938,,,25,0
939,,,25,0.000821
940,,,13,0
941,,,21,0.093799
942,,,3,0.002478
943,,,15,0
944,,,19,0.001643
945,,,365,0
946,,,37,0.061933
947,,,4,0.184263
948,,,6,0.033013
949,,,24,0.015209
950,,,365,0.008171
951,,,365,0.018323
952,,,365,0
953,,,365,0.006443
954,,,365,0.042235
955,,,2,0.033072
956,,,37,0
957,,,41,0.101514
958,,,47,0.132244
959,,,365,0
960,,,41,0.045239
961,,,4,0.001806
962,,,41,0
963,,,1,0.005709
964,,,41,0.000821
965,,,37,0
966,,,41,0.008742
967,,,6,0.001779
968,,,13,0.001643
969,,,37,0.111713
970,,,6,0.003865
971,,,13,0.003931
972,,,15,0.013412
973,,,13,0.002007
974,,,9,0
975,,,9,0.0146
976,,,266,0.159828
977,,,68,0.003145
978,,,68,0.027055
979,,,15,0.028539
980,,,15,0.001317
981,,,15,0
982,,,15,0
983,,,47,0
984,,,9,0.032363
985,,,9,0.068263
986,,,9,0.000821
987,,,2,0
988,,,13,0
989,,,34,0
990,,,41,0
991,,,41,0.036962
992,,,365,0.004015
